Step,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1310,0.41554761696803866,83.375,0.4064916966926458,83.0
1320,0.41162307837377893,83.5,0.4026379052622002,83.0
1330,0.40778579562615425,83.5,0.39887431877906837,83.0
1340,0.40403579650295535,83.5,0.3952007306349401,83.0
1350,0.4003727761861458,83.5,0.3916193613882997,83.0
1360,0.3967966030357432,83.5,0.38812867551453933,83.0
1370,0.3933069533999899,83.625,0.3847260261026392,83.0
1380,0.38990103329164943,83.625,0.3814088308177054,83.5
1390,0.38657947236643325,83.75,0.3781779638883207,83.5
1400,0.38334066323436405,83.75,0.3750308615927052,83.5
1410,0.3801846871392507,83.875,0.3719668152757509,83.5
1420,0.37710968036857906,83.875,0.36898660856756377,83.5
1430,0.3741160827677885,83.875,0.36608817973788116,83.5
1440,0.37120313167354574,83.875,0.3632706459761593,83.5
1450,0.36836780653837053,83.875,0.36053100943090294,83.5
1460,0.36560729363218003,84.0,0.35786830444666967,83.5
1470,0.3629204675465016,84.125,0.35527926551978256,83.5
1480,0.3603039127553135,84.125,0.3527615895977692,83.5
1490,0.3577575625335494,84.125,0.35031367422074566,84.0
1499,0.35552440347274505,84.125,0.34816837242918586,84.0
